,tweet,username,date,time,likes_count,cleaned_tweets
676,Most Mentioned Tickers on WSB (via Swaggy Stocks)  1. $GOEV 2. $TSLA 3. $BABA 4. $WISH 5. $SOFI 6. $SDC 7. $AAPL 8. $BB 9. $FB 10. $NKE,marketrebels,2021-09-25,07:00:00,110,mentioned tickers wsb via swaggy stocks 1 goev 2 tsla 3 baba 4 wish 5 sofi 6 sdc 7 aapl 8 bb 9 fb 10 nke
678,"Update on Tesla, Apple, the S&amp;P 5000, $QQQ, NIO, $PLTR, ROKU, Bitcoin, $AMZN, Square, and Netflix  Content Tech $AAPL $NVDA $AMD $QCOM Value $SPY $XOP $BAC $DIS $BA $AMC Software $PLTR $ROKU $NFLX $CRM $TWLO Crypto + Clean Energy $TSLA $NIO $ENPH $BTC $ETH  https://t.co/wTKJCSpobR",puppy_trades,2021-09-25,06:59:28,101,update tesla apple amp p 5000 qqq nio pltr roku bitcoin amzn square netflix content tech aapl nvda amd qcom value spy xop bac dis amc software pltr roku nflx crm twlo crypto clean energy tsla nio enph btc eth
681,May you all have a KICK ASS WEEKEND   Retweet with your favorite ticker so EVERYONE CAN have a KICK ASS WEEKEND #LPP   $DATS $CEI $TSLA $CCL $NCLH $SOFI $LCID $EZFL $SPY $FB $AMD $AAPL  $PLTR $WISH,trader_joe_lpp,2021-09-25,06:54:14,13,may kick ass weekend retweet favorite ticker everyone kick ass weekend dats tsla ccl nclh sofi lcid ezfl spy fb amd aapl pltr wish
702,"Bitcoin's resilience is so impressive.  China just banned cryptocurrency transactions, and Bitcoin is only down 4%. Imagine how far $AAPL would drop if China declared Apple's products illegal.",lpolovets,2021-09-25,06:39:24,516,bitcoin's resilience impressive china banned cryptocurrency transactions bitcoin 4 imagine far aapl would drop china declared apple's products illegal
708,自分の固定ツイートは毎月感想文を連ねてるから、見返すと面白い😄 昨年9月は #DDOG #DHR など保有してましたね。今もずっと持っておけば良かったなぁ😂20%位利益出たらすぐ利確しちゃうから💦 #MSFT #AAPL はずっと持つつもりでいます。 含み損銘柄、売却できてないな…昨年も含み損、今年も含み損😇,mocomocotoushi,2021-09-25,06:36:46,20,9 20
735,今週の総括📝  $U がとにかく強かった😎 $CCL は予約数増。巡航再開に目処👏 $DKNG によるいきなりのEntain買収提案😳  パウ爺が巧みなコントロールで乗り越えたFOMC後、10年債利回りがズンズンズン⤴︎となっているのがとても気になる😩  良い週末を🌱  保有株） $U $NIO $COIN $EH $CCL $AAPL $DKNG  https://t.co/2GKOjbjoLv,tk_takapiii,2021-09-25,06:09:39,17,ccl dkng entain fomc10 nio coin eh ccl aapl dkng
764,It will be essential to see what China does to foreign companies. So far these severe measurements only hit local companies like $BABA $TCEHY $EDU $TAL $JD $BIDU $NTES etc. China really cut them off. Are there risks $AAPL and luxury brands like through $FTCH will be hit as well?,patrick_walther,2021-09-25,05:57:18,21,essential see china foreign companies far severe measurements hit local companies like baba tcehy edu tal jd bidu ntes etc china really cut risks aapl luxury brands like ftch hit well
766,"Hey @henry_knowles3, here's the answer to your question on $AAPL!  https://t.co/JB6kr5W3H0",optionsaction,2021-09-25,05:56:22,11,hey here's answer question aapl
768,The next  🤳 $FB 📱 $AAPL 🛒 $AMZN 🍿 $NFLX 🔎 $GOOG  Is among a new class of growth names:  🏠 $OPEN 🧬 $DNA 📺 $ROKU 👨‍⚕️ $TDOC 🍋 $LMND 🎮 $SKLZ 📄 $DOCU 🚲 $PTON 💳 $AFRM 💽 $PLTR 💻 $S ☕️ $BROS 📍 $PINS 🏦 $UPST 👻 $SNAP 🌊 $SE  Which of these do you like? What’s missing?  👇,theefinanceguy,2021-09-25,05:54:05,379,next fb aapl amzn nflx goog among new class growth names open dna roku tdoc lmnd sklz docu pton afrm pltr bros pins upst snap like missing
781,@CryptoKaleo Buying $aapl puts now.,tiktokinvestors,2021-09-25,05:46:27,14,buying aapl puts
783,9/24 Recap   $UBER(.2-.67)235%✅ $MRNA(2.95-4.15)40.68%✅ $PFE(.34-.45)32.55%✅ $BA(1.02-2.52)147.06%✅ $TSLA(1.5-10.85)623.33%✅ $AMZN(2.9-3.3)13.79%✅ $FB(2.76-2.96)7.25%✅ $SHOP(1.67-1.75)4.79% ✅ $AAPL(.57-.5)-12.88%❌ $DKNG(.34-.37)8.82%✅  Total 1100.39% Realized,stock_snipa,2021-09-25,05:44:46,20,9 24 recap uber 2- 67 235 mrna 2 95-4 15 40 68 pfe 34- 45 32 55 1 02-2 52 147 06 tsla 1 5-10 85 623 33 amzn 2 9-3 3 13 79 fb 2 76-2 96 7 25 shop 1 67-1 75 4 79 aapl 57- 5 -12 88 dkng 34- 37 8 82 total 1100 39 realized
802,Here's how the largest stocks have currently performed so far in 2021  Apple $AAPL +10.7% Microsoft $MSFT +34.6% Google $GOOGL +62.3% Amazon $AMZN +5.2% Facebook $FB +29.2% Tesla $TSLA +9.7% Berkshire $BRK.B +19.8% Taiwan Semi $TSM +6.1% Nvidia $NVDA +69.1% Visa $V +5.9%,bullishrippers,2021-09-25,05:32:47,33,here's largest stocks currently performed far 2021 apple aapl 10 7 microsoft msft 34 6 google googl 62 3 amazon amzn 5 2 facebook fb 29 2 tesla tsla 9 7 berkshire brk b 19 8 taiwan semi tsm 6 1 nvidia nvda 69 1 visa 5 9
833,新iPad miniは「正直、満点」の性能・サイズの完成度…最速実機レビュー｜  2021年秋のアップル新製品の中でも、最も｢大きな進化を遂げた｣イメージが強いのは、実はiPhone 13やiPhone 13 Proではなく、｢iPad mini｣  $AAPL  https://t.co/gCxpjA6Ktx @BIJapanより,avfroosevelt,2021-09-25,05:03:02,18,ipad mini 2021iphone 13iphone 13 proipad mini aapl
835,✅本日値動き ETF イン➡️VOO+0.2% QQQ+0.1% 配当➡️SPYD+0.1% VYM+0.2% コモ➡️GLD-0.1% SLV-1.0% クリ❌ICLN-1.9% QCLN-1.4%  個別 GAF➡️AAPL+0.1% AMZN+0.3% Saa➡️ZM-1.4% CRWD-0.2% グロ❌APPS+0.1% FVRR-2.4% ワク😱BNTX-5.5% MRNA-5.4% IPO➡️AI-0.4% U+1.1% シク⭕️H+3.6% DAL+2.2%  MY -0.95%  https://t.co/a8L09ch82B,toushi_tommy,2021-09-25,05:01:39,64,etf voo 0 2 qqq 0 1 spyd 0 1 vym 0 2 gld-0 1 slv-1 0 icln-1 9 qcln-1 4 gafaapl 0 1 amzn 0 3 saazm-1 4 crwd-0 2 apps 0 1 fvrr-2 4 bntx-5 5 mrna-5 4 ipoai-0 4 1 1 3 6 2 2 -0 95
870,"Day one iPhone 13 preorders top 5 million in China, breaks $AAPL website.  $JD reportedly sold 3 million pre-orders on its first day.   https://t.co/EW6OWMMpvW",hedgevision,2021-09-25,04:40:13,13,day iphone 13 preorders top 5 million china breaks aapl website jd reportedly sold 3 million pre-orders first day
