,Ticker,Title,Article,Summary,Link,Date
0,MSFT,,,,https://www.bizjournals.com/seattle/news/2021/09/28/microsoft-tiktok-acquisition-strange-satya-nadella.html,2021-09-28
1,MSFT,,,,https://www.bizjournals.com/southflorida/news/2021/09/08/microsoft-leases-50-000-square-foot-office-in-bric.html,2021-09-08
