,date,flair_weighted,vader_weighted,finbert_weighted
0,2021-01-01,-0.0477125155666252,0.5641,0.7374094426631927
1,2021-01-04,-0.03272324030175129,0.43357,0.8759711623191833
2,2021-01-05,-0.7177855451713396,0.2740666666666667,0.8589615225791931
3,2021-01-06,0.3274450541246734,0.4992666666666667,0.764528493086497
4,2021-01-07,-0.05637225815725169,0.11498888888888888,0.8482336203257242
5,2021-01-08,-0.1048455273267505,0.098,0.8398147775576665
6,2021-01-11,-0.3350542937313757,0.04558708333333335,0.7848343593378861
7,2021-01-12,-0.20127759380097882,-0.1143,0.8482532024383544
8,2021-01-13,-0.12771146838156486,0.22089999999999999,0.7173742651939392
9,2021-01-14,-0.1560151631477927,0.09065,0.8808788806200027
10,2021-01-15,-0.11191508836075563,0.3835,0.9197822093963623
11,2021-01-18,0.16461513818533763,0.26584,0.7506328880786896
12,2021-01-19,-0.4027077581863979,0.26388,0.8197807908058167
13,2021-01-20,-0.3680733265925177,0.2561,0.7919387817382812
14,2021-01-21,0.2792900900900901,0.37094999999999995,0.9107228418191274
15,2021-01-22,-0.08625770308123244,-0.14876666666666663,0.9047230879465739
16,2021-01-25,0.016582023227674964,0.20771333333333333,0.8820180972417195
17,2021-01-26,-0.221895,0.3062,0.8593519330024719
18,2021-01-27,-0.2378027165964037,-0.069075,0.8903249055147171
19,2021-01-28,0.5302760146103896,0.60805,0.8941976428031921
20,2021-01-29,0.16002969041402462,0.3400142857142857,0.8517729469708034
21,2021-02-01,0.2393820895010585,0.14897025,0.8575713616609573
22,2021-02-02,0.06183990148665592,0.24298000000000003,0.8624207774798075
23,2021-02-03,-0.0008360278818143931,0.12525555555555556,0.7780083666245142
24,2021-02-04,-0.08970762762762763,0.06576666666666667,0.83010267217954
25,2021-02-05,0.4205514211886305,0.39293333333333336,0.8945091764132181
26,2021-02-08,0.3488986475927873,0.3825753333333334,0.8894779547055562
27,2021-02-09,0.5739396860986548,0.42775,0.830031007528305
28,2021-02-10,0.3291417813051147,0.2729833333333333,0.8688620428244272
29,2021-02-11,-0.9106,0.0,0.899423360824585
30,2021-02-12,0.13824748957091776,0.19185000000000002,0.8651105612516403
31,2021-02-15,0.04978160371492525,-0.013423333333333343,0.8091884694993496
32,2021-02-16,-0.9961,-0.4019,0.7742097973823547
33,2021-02-17,0.28618398411647916,0.2439,0.875481516122818
34,2021-02-18,-0.143120082815735,0.24804285714285715,0.8563223736626762
35,2021-02-19,0.17473552795031053,0.286975,0.8793584555387497
36,2021-02-22,-0.568178130792997,0.14418500000000004,0.8831939861178397
37,2021-02-23,0.67660423966363,0.51145,0.8835185468196869
38,2021-02-24,-0.14418895553422906,0.14502500000000002,0.7978065982460976
39,2021-02-25,-0.31877452290076336,-0.148,0.8572445809841156
40,2021-02-26,-0.1604264393297255,0.25658571428571425,0.8087537288665771
41,2021-03-01,0.06969140721481965,0.13555666666666666,0.8564676572879155
42,2021-03-02,-0.9999,-0.5106,0.92583429813385
43,2021-03-03,0.04157423575129533,0.11747500000000001,0.8059348315000534
44,2021-03-04,-0.11098527105517908,0.26819000000000004,0.9028819262981415
45,2021-03-05,0.257115092290988,-0.09106666666666667,0.7271247903505961
46,2021-03-08,0.02766387819715624,0.10464749999999999,0.893333975970745
47,2021-03-09,-0.3982586280814577,-0.1665,0.6902279555797577
48,2021-03-10,0.9127,0.8176,0.9019249081611632
49,2021-03-11,-0.8609,0.6486,0.9133836627006532
50,2021-03-12,0.9984,0.5859,0.6263164281845093
51,2021-03-15,0.4035942760942761,0.167625,0.4301287680864334
52,2021-03-16,0.35566796875,0.44620000000000004,0.7589734792709351
53,2021-03-17,0.3183603708791209,0.6414,0.6744720488786697
54,2021-03-18,-0.19116359940872138,0.3710833333333334,0.8657063543796539
55,2021-03-19,-0.22018387755102042,0.35464999999999997,0.7376744151115417
56,2021-03-22,0.4835284615384615,0.07843999999999998,0.8917072415351868
57,2021-03-23,0.2320811881188119,0.42955,0.8287880718708038
58,2021-03-24,-0.9957,-0.7579,0.879956066608429
59,2021-03-25,0.4643522451994092,0.45182,0.8821964859962463
60,2021-03-26,0.963,0.6249,0.8639580011367798
61,2021-03-29,0.6375474927066721,0.2788275,0.6944526448845864
62,2021-03-30,0.5308606089743589,0.3388,0.774936830997467
63,2021-03-31,-0.8736893899204244,0.37739999999999996,0.8716087341308594
