,Unnamed: 0,Username,Tweet,Datetime,Number of Followers,Number of Comments,Number of Retweets,Number of Likes,cleaned Tweet
334,334,MadMraket,"$PLTR
$TSLA
$ARKF
$ARKG
$ARKK
$ARKW  
ARK Invest's Cathie Wood on how to be a growth investor, and why Palantir and Tesla fit
https://t.co/7p6nXY3rj1 https://t.co/0E3JFsutHf",2021-02-20 20:07:17+00:00,43308,4,34,217,pltr tsla arkf arkg arkk arkw invest cathie wood growth investor palantir tesla fit
335,335,ArkkDaily,"Cathie and Ark Invest bought Palantir $PLTR for the first time ever in $ARKK this week on Thursday

Here's Palantir's price range on the days Cathie bought this week:
Tuesday: High $30.4 Low $27.3 for $ARKW
Thursday: High $26.3 Low $24.5 for $ARKK",2021-02-20 13:57:33+00:00,77276,10,21,204,cathie invest buy palantir pltr first time ever arkk week thursday palantir price range day cathie buy week tuesday high low arkw thursday high low arkk
336,336,vincent13031925,"Ark Invest’s flagship ETF bought nearly 90,000 shares of $TSLA this week, about 0.25% of ARKK. The ARK Autonomous Technology &amp; Robotics ETF and the ARK Next Generation Internet ETF also bought shares of Tesla.",2021-02-20 01:59:22+00:00,123656,16,50,728,invest flagship etf buy nearly share tsla week arkk autonomous technology amp robotics etf next generation internet etf also buy share tesla
337,337,SawyerMerritt,"NEWS: Today ARK Invest bought 72,120 shares (worth over $56.25m) of $TSLA for their ARKK ETF. ARK bought over $160 Million+ worth of $TSLA this week. https://t.co/h2uR1e7cHF",2021-02-19 23:44:39+00:00,75800,17,49,507,news today invest buy share worth 25m tsla arkk etf buy million worth tsla week
338,338,HedgeMind,"$PLTR 5,274,700 shares, that's amount of shares Cathie Wood's ARKK loaded up today.

ARK more than doubled stake to own 9.35M+ shares

So ARK must be waiting for today's arrival.  

ARK has become the 6th largest holder among institutional investors. 

Wow, so powerful. https://t.co/8PSQiAwVsx",2021-02-19 00:15:16+00:00,68477,20,70,342,pltr share amount share cathie wood arkk load today double stake 35m share must wait today arrival become 6th large holder among institutional investor wow powerful
339,339,ScottWapnerCNBC,Thanks for coming on @HalftimeReport today @CathieDWood.  I know our viewers really enjoyed hearing from you.  $TSLA $ZM $PLTR $ARKK $DOCU,2021-02-18 00:01:36+00:00,202859,42,13,367,thank come today know viewer really enjoy hear tsla zm pltr arkk docu
340,340,SawyerMerritt,"Today ARK Invest bought 89,447 shares (worth over $71.3m) of $TSLA for their ARKK ETF. In addition, ARK also bought 13,173 $TSLA shares (worth over $10.5m) for the ARKQ ETF. Lastly, they bought 29,508 $TSLA shares for their ARKW ETF, worth over $23.5m

1/6 https://t.co/uW0i0pBcy2",2021-02-17 23:58:52+00:00,75800,30,133,870,today invest buy share worth 3m tsla arkk etf addition also buy tsla share worth 5m arkq etf lastly buy tsla share arkw etf worth 5m
341,341,NateGeraci,"Cathie Wood vs Warren Buffett since $ARKK inception...

Wild. https://t.co/CXPAJz1HUO",2021-02-17 00:10:04+00:00,10534,76,228,1157,cathie wood v warren buffett since arkk inception wild
342,342,TheAlphaThought,"What portfolio are you taking?

#1 - Income
$ABBV
$O
$WMT
$SPG

#2 - Value
$JNJ
$GM
$PG
$DIS

#3 - Growth
$AAPL
$SQ
$TSLA
$ARKK

#4 - Capital preservation
$VOO
$QYLD
$VIG
$VYM

#5 - YOLO
$AMC
$GME
$BB
$NOK

#6 - Crypto
$BTC
$ETH
$DOGE
$LTC",2021-02-15 13:58:28+00:00,24867,133,105,500,portfolio take income abbv wmt spg value jnj gm pg dis growth aapl sq tsla arkk capital preservation voo qyld vig vym yolo amc gme bb nok crypto btc eth doge ltc
343,343,StockMKTNewz,"Top 10 holdings of @CathieDWood &amp; @ARKInvest's $ARKK Ark Innovation ETF as of 2/12

1 Tesla $TSLA
2 $ROKU
3 Teladoc $TDOC
4 Square $SQ
5 Zillow $Z $ZG
6 Crispr $CRSP
7 Baidu $BIDU
8 Invitae  $NVTA
9 Spotify $SPOT
10 Shopify $SHOP

(Source https://t.co/r56fb1OVYq) https://t.co/EQhqF97KLr",2021-02-13 19:53:15+00:00,117577,3,60,310,top hold amp arkk innovation etf tesla tsla roku teladoc tdoc square sq zillow z zg crispr crsp baidu bidu invitae nvta spotify spot shopify shop source
344,344,StockMKTNewz,"Here's how Cathie Wood and Ark Invest's ETFs have performed so far in 2021 👀👀

Ark Innovation $ARKK: +24.2%
Ark Next Gen Internet $ARKW: +26.5%
Ark Genomic Revolution $ARKG: +19%
Ark Fintech $ARKF: +24.6%
Ark Autonomous Tech &amp; Robotics $ARKQ: +29.3%",2021-02-12 21:15:41+00:00,117577,31,81,400,cathie wood invest etf perform far innovation arkk next gen internet arkw genomic revolution arkg fintech arkf autonomous tech amp robotics arkq
345,345,TheStalwart,"NEW ODD LOTS

Perfect timing... @tracyalloway and I talked to @wintonARK, the Director of Research at ARK Invest to discuss the firm's internal process for identifying the next huge winners.
 https://t.co/SyBMr277DK $ARKK",2021-02-11 13:19:11+00:00,288781,12,24,232,new odd lot perfect time talk director research invest discus firm internal process identify next huge winner arkk
346,346,ajb_powell,"ARK Invest's due diligence process, a 4 part story $ARKK https://t.co/blSZHU8CSN",2021-02-11 10:05:51+00:00,7427,17,34,297,invest due diligence process part story arkk
347,347,ActiveArk,"2月10日
ARKK （破壊的イノベーション）：▲1.19%
ARKF （フィンテック）　　　　：+0.12%
ARKQ （自動技術、ロボット）　：▲1.46%
ARKW （次世代インターネット）：▲0.39%
ARKG （ゲノム）　　　　　　　：▲1.27%
PRNT （3Dプリンタ）　　　　　：▲4.36%
IZRL（イスラエル）　　　　　　：▲0.55%",2021-02-10 21:15:07+00:00,22253,1,32,248,arkk arkf arkq arkw arkg prnt 3d izrl
348,348,almutlaqwael,"بعض الأسهم و الصناديق التي تم ذكرها:

$MXCT
$SI
$ARKG
$NIO
$CRM
$EDIT
$CRSP
$NNOX
$SQ
$PYPL
$MRO
$DQ
$ARKK
Alexandria pharma
ولاء للتأمين
STC
ساسكو
البحري

طبعا لا تعتبر توصية شراء أو بيع، فقط مشاركة أفكار و آراء قبل شراء أي شركة يجب أن تحللها بشكل جيد و تتحمل المخاطر المحتملة https://t.co/SDMApfchmb",2021-02-10 18:08:59+00:00,40737,9,27,409,بعض الأسهم و الصناديق التي تم ذكرها mxct si arkg nio crm edit crsp nnox sq pypl mro dq arkk alexandria pharma ولاء للتأمين stc ساسكو البحري طبعا لا تعتبر توصية شراء أو بيع فقط مشاركة أفكار و آراء قبل شراء أي شركة يجب أن تحللها بشكل جيد و تتحمل المخاطر المحتملة
349,349,charliebilello,"ARK Innovation ETF, AUM...
Feb 2015: $5.2 million
Feb 2016: $5.9 million
Feb 2017: $15.8 million
Feb 2018: $511 million
Feb 2019: $1.4 billion
Feb 2020: $2.2 billion
Feb 2021: $26.4 billion

$ARKK

Data via @ycharts https://t.co/L0S3lguu2S",2021-02-09 16:05:25+00:00,311983,17,79,276,innovation etf aum feb million feb million feb million feb million feb billion feb billion feb billion arkk data via
350,350,DavidSchawel,"So $ARKK has outperformed $QQQ by 453% since inception. Here’s the attribution. $TSLA $GBTC $NVTA $SQ $ROKU $NVDA were the biggest contributors. 

But, even if you zero out Tesla and Bitcoin, they’d beat $QQQ by 250%. Lot of under the radar winners $JUNO $VCYT $PRLB https://t.co/UXUBy1jqj1",2021-02-08 14:12:10+00:00,50664,7,33,219,arkk outperform qqq since inception attribution tsla gbtc nvta sq roku nvda big contributor even zero tesla bitcoin beat qqq lot radar winner juno vcyt prlb
351,351,ebitdaddy90,WSJ article says Arkk has almost 50% of the fund in stocks where they own 10% or more of the company. @CathieDWood I look forward to feasting on your carcass when flows turn negative. Gonna be easy to get some predatory shorts going in all your small caps.,2021-02-07 04:40:27+00:00,11518,136,93,1116,wsj article say arkk almost fund stock company look forward feast carcass flow turn negative gonna easy get predatory short go small cap
352,352,BullishAngel,"💥My Long Term Stocks over $200K💥

$TSLA ($2.0M)
$AMZN $858K
$CCIV $718K
$FVRR $699K
$SE $656K
$ROKU $646K
$ARKK $624K
$SKLZ $590K
$PINS $558K
$ARKG $449K
$UPWK $438K
$NGA $433K
$SQ $426K
$FB 402K
$MELI $352K
$ETSY $337K
$BABA $332K
$IPOF $296K
$U 267K
$NIO $213K

#transparency",2021-02-06 00:46:55+00:00,8629,31,8,220,long term stock 200k tsla 0m amzn 858k cciv 718k fvrr 699k se 656k roku 646k arkk 624k sklz 590k pin 558k arkg 449k upwk 438k nga 433k sq 426k fb 402k meli 352k etsy 337k baba 332k ipof 296k u 267k nio 213k
353,353,onyoourm_arkK,BANTU RT SAMA LIKE DONG🥺🥺🥺 https://t.co/EtbbdXK2CU,2021-02-05 12:57:19+00:00,1906,13,158,335,bantu rt sama like dong
354,354,TheStalwart,"New thematic portfolio: Boomers &amp; Zoomers

60% Oil, banks, defense stocks, railroads, Berkshire 

40% ARKK, Yolo trades on meme stocks",2021-02-05 00:54:33+00:00,288782,44,39,766,new thematic portfolio boomer amp zoomers oil bank defense stock railroad berkshire arkk yolo trade meme stock
355,355,EricBalchunas,"MILESTONES: ARK Fam hit $50b in assets today, up from $3b this time last yr and double any other active issuer (Pimco has about $25b). They in three-way-ish tie for 7th biggest issuer spot. They also crossed $10b in flows YTD. Only Vgrd more. $ARKK is now #2 in YTD flows as well. https://t.co/2cv45YbxR5",2021-02-04 12:41:34+00:00,71640,36,112,462,milestone fam hit 50b asset today 3b time last yr double active issuer pimco 25b three way ish tie 7th big issuer spot also cross 10b flow ytd vgrd arkk ytd flow well
356,356,Dividend_Dollar,"Cathie Wood is the MASTERMIND behind the @ArkInvest ETFs

She has put together ULTRA growth funds aimed at disruption

$ARKK
$ARKQ
$ARKW
$ARKG
$ARKF

Top 3 stocks in each consist of

$TSLA $TDOC $SQ $PACB $TWST $TCEHY $Z $MTLS $TRMB

Do you have any ARK funds? https://t.co/QFJ1ACveW8",2021-02-03 15:05:00+00:00,29589,44,51,370,cathie wood mastermind behind etf put together ultra growth fund aim disruption arkk arkq arkw arkg arkf top stock consist tsla tdoc sq pacb twst tcehy z mtls trmb fund
357,357,onyoourm_arkK,"NCTZEN DAN WAYZENNIE YANG LIAT INI BANTU RT SAMA LIKE PLEASE. NCTZEN SAMA WAYZENNIE AYO VOTE DI MUBEAT SEBENTAR LAGI END NYA AYO CEPET YANG BELUM VOTE VOTE DULU, TOLONG BANGET DI MOHON KERJASAMANYAA TERIMA KASIH🙏🙏😢😢",2021-02-01 05:15:56+00:00,1906,6,645,1130,nctzen dan wayzennie yang liat ini bantu rt sama like please nctzen sama wayzennie ayo vote di mubeat sebentar lagi end nya ayo cepet yang belum vote vote dulu tolong banget di mohon kerjasamanyaa terima kasih
358,358,Dividend_Dollar,"The @ARKInvest funds have had stellar performance the past year. Let's look the funds top holdings

$ARKK Innovation $TSLA $ROKU $CRSP $SQ $TDOC

$ARKG Genomic $PACB $TDOC $CRSP $TWST $CDNA

$ARKF FinTech $SQ $MELI $Z $ICE $TCEHY

$ARKW Next Gen $TSLA $ROKU $SQ $GBTC $TDOC",2021-01-31 16:05:00+00:00,29589,12,59,355,fund stellar performance past year let look fund top hold arkk innovation tsla roku crsp sq tdoc arkg genomic pacb tdoc crsp twst cdna arkf fintech sq meli z ice tcehy arkw next gen tsla roku sq gbtc tdoc
359,359,TheStalwart,"An irony of this past week is that the $GME short squeeze, by causing funds to also liquidate their long positions, leading to declines at the index level, with particular pain in popular names (like $ARKK and big tech) made it a down arrow for most retail investors.",2021-01-30 15:02:37+00:00,288783,75,79,726,irony past week gme short squeeze cause fund also liquidate long position lead decline index level particular pain popular name like arkk big tech make arrow retail investor
360,360,BahamaBen9,"Portfolio: 40 holdings
Performance: 255% y/y
Benchmark: $ARKK 159% y/y

1. $RDFN = 32.3%
2. $SQ = 8.5%
3. $PTON = 4.6%
4. $SHOP = 4.4%
5. $TSLA = 4.2%
6. $TDOC = 3.2%
7. $AMZN = 2.7%
8. $CRM = 2.7%
9. $SE = 2.7%
10. $DOCU = 2.7%",2021-01-29 23:39:53+00:00,45267,47,66,766,portfolio hold performance benchmark arkk rdfn sq pton shop tsla tdoc amzn crm se docu
361,361,SawyerMerritt,"Tweeting this out cuz I know some of you find it interesting. Today ARK Invest bought 108,996 shares of $TSLA for $ARKK &amp; $ARKW worth $86.5 Million. This is in addition to the $57 Million they bought yesterday. https://t.co/jjZwiAY0ud",2021-01-29 23:31:16+00:00,75800,57,151,1283,tweet cuz know find interest today invest buy share tsla arkk amp arkw worth million addition million buy yesterday
362,362,JohnnaCrider1,"Got all my money out of Robinhood, bought 4 shares of Tsla, 1 Arkk and 1 LIT. 

Every time I try to close my Robinhood account I get an error message and the app crashes. 

I got my $ tho.",2021-01-29 14:45:47+00:00,27272,22,6,281,get money robinhood buy share tsla arkk light every time try close robinhood account get error message app crash get tho
363,363,EricBalchunas,"ARK Mania is cooling, inflows and volume have declined steadily over past few days to almost nothing. The decline has been almost perfectly inversely correlated to the price and volume for $GME as some no doubt have found an even shinier object to play with.. $ARKK $ARKG https://t.co/8UyuZFhoil",2021-01-29 13:09:15+00:00,71641,10,59,340,mania cool inflow volume decline steadily past day almost nothing decline almost perfectly inversely correlate price volume gme doubt find even shiny object play arkk arkg
364,364,SawyerMerritt,"Looks like ARK Invest bought some $TSLA today for the first time in weeks. They bought 66,943 shares or $57 Million worth for $ARKK &amp; $ARKW. Again, this is just normal rebalancing so doesn’t really mean anything, but thought I’d share anyways :) https://t.co/q45KvQzpLj",2021-01-28 23:29:53+00:00,75801,22,37,332,look like invest buy tsla today first time week buy share million worth arkk amp arkw normal rebalancing really mean anything think share anyways
365,365,pulte,"As I always say, I am not a licensed doctor, financial advisor, or therapist.  So do not listen to me.  I also trade in and out of my positions and I may trade out of any of these at the open or anytime!

$SQ
$SPY
$CAT
$ARKK
$XLI
$PENN",2021-01-28 14:09:25+00:00,2834425,313,288,4820,always say license doctor financial advisor therapist listen also trade position may trade open anytime sq spy cat arkk xli penn
366,366,lorinoridesu,If Cathie Wood told me to jump off a bridge I would simply jump off the bridge into the large pile of money she put below me $tsla $arkk,2021-01-25 20:23:31+00:00,3470,29,39,719,cathie wood tell jump bridge would simply jump bridge large pile money put tsla arkk
367,367,MagasanTv,"自分はガンガンに投資してますが『本業を持ってる投資ど素人身内や友人が投資を始めたいといえばどの株をアドバイスしてあげるのか？』これは過去にもツイートしたことあるけど上書きです。

長期積み立て：
1. $VTI （米国全体）
2. $QQQ （NASDAQ）
3. $VYM （高配当）
※ $ARKK （イノベーション）",2021-01-22 03:31:02+00:00,31589,5,59,528,vti qqq nasdaq vym arkk
368,368,charliebilello,"ARK Innovation ETF, AUM...
Jan 2015: $5.0 million
Jan 2016: $6.8 million
Jan 2017: $15.3 million
Jan 2018: $468 million
Jan 2019: $1.3 billion
Jan 2020: $2.0 billion
Jan 2021: $23.5 billion

$ARKK

Data via @ycharts https://t.co/Nah1QZXbbK",2021-01-21 22:14:52+00:00,311984,30,146,624,innovation etf aum jan million jan million jan million jan million jan billion jan billion jan billion arkk data via
370,370,TheStalwart,"The BRATS

Bitcoin
Russell 2000
ARKK
Tesla
SPACs",2021-01-19 21:32:03+00:00,288784,37,79,1085,brat bitcoin russell arkk tesla spacs
371,371,MagasanTv,"大統領就任式が無事終わればやはりこれで確定だな。俺の脳ミソで確実なアクティブ運用はこれ以上思い付かない。10年ガチホでビバリーヒルズに大豪邸購入して友人たちとパーリーピーポーする！

Maga Activ Fund（MAX10million）
個別
$TSLA $APPL
ETF
$QQQ $ARKK $ARKW $ARKG $ARKF $ARKQ $PRNT $IZRL https://t.co/GlFpdSpQEi",2021-01-16 10:07:03+00:00,31589,8,18,266,maga activ fundmax10million tsla appl etf qqq arkk arkw arkg arkf arkq prnt izrl
372,372,TheStalwart,"The STABs -- SPACs, Tesla, ARKK, and Bitcoin -- all red",2021-01-15 15:50:32+00:00,288784,26,9,320,stab spacs tesla arkk bitcoin red
373,373,HedgeMind,"$ZM Cathie Wood's ARK made its biggest buy today.👇🏿

Its ETFs, $ARKK &amp; $ARKW, acquired total 407,717 shares, a significant increase, ~38% to hold 1,485,708 shares.

$ZM is now a $530M holding of ARK, similar position size to its $SHOP holding now.

Nothing more to say. https://t.co/FirU33Fbkb https://t.co/gOyfDTS7Ik",2021-01-13 00:02:38+00:00,68476,14,56,281,zm cathie wood make big buy today etf arkk amp arkw acquire total share significant increase hold share zm 530m hold similar position size shop hold nothing say
374,374,chhlss,"My mom put her first $1,000 into Robinhood today. Had her split between $ARKK, $ARKG, $ARKQ, $IPOE, $IPOF, and $PSTH. 

Her personal goal is to pay for this years  Christmas gifts with her gains. Happy to see it — will keep you update 😍",2021-01-11 20:21:11+00:00,92601,49,12,1011,mom put first robinhood today split arkk arkg arkq ipoe ipof psth personal goal pay year christmas gift gain happy see keep update
375,375,dailydirtnap,"Bitcoin dumping is the beginning of a broader move lower in risk.

TSLA, ARKK, SPACs will follow.",2021-01-11 16:07:35+00:00,43741,35,18,256,bitcoin dump begin broad move low risk tsla arkk spacs follow
376,376,EricBalchunas,"NEW MILESTONE: ARK Fam took in $1.2b on Friday (first time over $1b in a day). $ARKK led w/ a record $626m, which was the most among all ETFs on Friday. This is Vanguard-ian level cash intake here. Here's a stacked bar chart of the Fab Five flows. https://t.co/vuqJ4H4h5s",2021-01-11 12:47:59+00:00,71643,12,29,247,new milestone fam take 2b friday first time 1b day arkk lead w record 626m among etf friday vanguard ian level cash intake stack bar chart fab five flow
377,377,onyoum__arkk,"@pakjeprii @NCTsmtown Yg aku tangkep nih, nct ga akan upload konten di nct daily, musik, sama dance. Tapi kontennya bakal di upload di yt masing masing nct127, nct dream, sama WayV. Cmiiw",2021-01-11 09:28:11+00:00,400,13,6,477,yg aku tangkep nih nct ga akan upload konten di nct daily musik sama dance tapi kontennya bakal di upload di yt masing masing nct127 nct dream sama wayv cmiiw
378,378,TayOnTech,"$ARKK top 10 holdings 
Tesla
Roku
Crispr Therapeutics
Square 
Teladoc Health
Invitae Corp
Zillow Group
Editas Medicine
Proto lab
Spotify

If you want a high growth etf w/ little risk &amp; high returns this is the ETF for you.",2021-01-08 15:52:40+00:00,31888,7,84,432,arkk top hold tesla roku crispr therapeutic square teladoc health invitae corp zillow group editas medicine proto lab spotify want high growth etf w little risk amp high return etf
379,379,htsfhickey,"The herd has little interest in precious metals &amp; ""value"" stocks in general. Too enthralled chasing one-direction bubble symbols such as TSLA, GBTC &amp; ARKK. Repeat of '99-2000. Exact same behavior. Only the symbols have changed. Back then it was the likes of YHOO, WCOM &amp; JDSU",2021-01-08 11:20:27+00:00,40054,46,84,592,herd little interest precious metal amp value stock general enthral chase one direction bubble symbol tsla gbtc amp arkk repeat exact behavior symbol change back like yhoo wcom amp jdsu
380,380,jicchamatome,"👴ランダム銘柄復習 (1/4ビデオ)
- $CVS: 買い
- $ARKK: 僕ならパス
- $DKNG: オンラインカジノ銘柄で一番しっかりしてる
- $RIDE: SPACの中で一番しっかりした事業計画
- $ROKU: 良い。決算待って買いたい
- $NIO: 短期で◯。12月の納車数字は良かった
- $AI: ホールドOK。IPO後初決算はおそらく良い",2021-01-07 15:12:07+00:00,107004,6,19,264,cv arkk dkng ride spac roku nio ai okipo
381,381,vincent13031925,"Is this for real? Toilet boy is now shorting Ark Invest fund ARKK 

😂😂😂 

Stanphyl Capital December 2020: Short ARKK - ValueWalk https://t.co/SBfodYryYL",2021-01-05 19:31:19+00:00,123658,83,13,352,real toilet boy short invest fund arkk stanphyl capital december short arkk valuewalk
382,382,stevenmarkryan,"Mark Spiegel's StandStill Capital is now short $ARKK. You can't make this shit up 😂

https://t.co/xDebCq2w7J

I feel so bad for this guy. Shorting what will be one of the best performing ETFs of the year. 

Great case study in poor judgement.",2021-01-05 13:19:40+00:00,57781,96,33,661,mark spiegel standstill capital short arkk make shit feel bad guy short one best perform etf year great case study poor judgement
384,384,jicchamatome,"- $ARKK: 僕ならパス
- $SQ か $PYPL: 強いて言えば $SQ
- $BMY: 良い会社。セルジーンとの合併嫌気で割安放置されてる
- $ADSK: 老舗のSAAS銘柄。いいと思う
- $KOS: 低位でダウンサイドリスク遥かに低い
- $TSMC: 非常にしっかり経営された素晴らしい会社。株価高いの当然
- $CVS: 買いです",2021-01-04 13:23:32+00:00,107004,3,16,205,arkk sq pypl sq bmy adsk saas ko tsmc cv
385,385,anandchokkavelu,"If you’re investing a $600 stimulus check…

Here’s a six-pack that balances safety and growth for the next five years. $100 in each of these:

Amazon $AMZN
Disney $DIS
Berkshire Hathaway $BRK
Intuitive Surgical $ISRG
Etsy $ETSY
ARK Innovation ETF $ARKK

Any questions welcome.",2021-01-03 15:25:55+00:00,21215,12,12,239,invest stimulus check six pack balance safety growth next five year amazon amzn disney dis berkshire hathaway brk intuitive surgical isrg etsy etsy innovation etf arkk question welcome
386,386,onyoum__arkk,"@jevanadi Gw punya temen yg bener bener klop, bukan temen sih tapi sepupu. Kita Deket bgt sampe kl lagi cerita gatau waktu gatau tempat. Tpi kl udh dirumah gapernah yg namanya chat atau bahkan nelpon, malah cuma jadi penonton sw tanpa di reply. Tapi emg semenyenangkan itu berteman sama dia",2021-01-02 18:23:02+00:00,400,16,26,260,gw punya temen yg bener bener klop bukan temen sih tapi sepupu kita deket bgt sampe kl lagi cerita gatau waktu gatau tempat tpi kl udh dirumah gapernah yg namanya chat atau bahkan nelpon malah cuma jadi penonton sw tanpa di reply tapi emg semenyenangkan itu berteman sama dia
387,387,ZorTrades,"$ARKK continues to buy $ZM on the way down. People have to stop with the old cliche's like; only losers average down. Wood is no loser. And there are many ways to skin a cat. Averaging down on swing trades doesn't make sense to me, but it's a different story for long term holds.",2021-01-01 11:23:38+00:00,33151,50,31,485,arkk continue buy zm way people stop old cliche like loser average wood loser many way skin cat average swing trade make sense different story long term hold
