,Unnamed: 0,Username,Tweet,Datetime,Number of Followers,Number of Comments,Number of Retweets,Number of Likes,cleaned Tweet
14,14,TOFIQFAZL,"#AMC Russell rebalancing , #AMC is not being included in #Russell1000 on June 25th , but $GME made it , it is necessary that market cap should be over $7.3 billion to be included in #Russell1000 as of May 7 , $AMC was $4.3 Billion on May 7, so could not make it , #AMCSqueeze",2021-06-23 16:56:26+00:00,32495,12,46,395,rebalancing include june 25th gme make necessary market cap billion include may amc billion may could make
15,15,benwehrman,"✅ ATM complete, +$1B 💰
✅ NSCC-002 implemented
✅ T+21/T+35 death spiral
✅ Russell 1000
✅ Execs locked in w/ 100% stock compensation
✅ Elliot Waves Guy test-driving Porsches

Tell me a better stock on planet earth to own right now.

#GME #ILikeTheStock #BuckleUp",2021-06-22 22:50:00+00:00,5170,23,61,690,atm complete 1b nscc implement death spiral exec lock w stock compensation elliot wave guy test drive porsches tell good stock planet earth right
16,16,dog_shill,"BARK BARK BARK BARK BARK

WEDNESDAY - 002 &amp; 801 IN EFFECT

THURSDAY - T-21

FRIDAY - REVERSE REPO PAYBACK DUE &amp; $GME ADDED TO RUSSELL 1000

MONDAY - HEDGIES R FUK?",2021-06-22 14:00:43+00:00,28527,42,138,1501,bark bark bark bark bark wednesday amp effect thursday friday reverse repo payback due amp gme add monday hedgies r fuk
17,17,trvsrdrgz,GameStop added to the Russell 1000! The same hedgefund shorted $AMC is the same short $GME. If GameStop short squeezes so does AMC!,2021-06-18 05:37:32+00:00,5685,19,73,735,gamestop add hedgefund short amc short gme gamestop short squeeze amc
19,19,andyleeck,"#AMC #GME likely going into Russell 1000, big boys don’t want to be caught looking bad,like they were stupid! Apes your thoughts pls?
From:
https://t.co/TWhy1fUcrp
From:
https://t.co/7etJuVkdmB
From:
https://t.co/WNrjAZQEE3
Above are all from Sir @gmegang1 #ApeAndy loves you!",2021-06-15 04:49:05+00:00,11476,16,26,276,likely go big boy want catch look bad like stupid ape think pls sir love
21,21,andyleeck,"If Russell 2000 removes #GME due to (if)#GME moving to Russell 1000, does Russell 2000 have to sell its #GME shares? If so can Russell 2000 sell its #GME shares while the shares are still being lent out? #ApeAndy very dumb, smart apes pls advise! https://t.co/UX7ouyvFef https://t.co/M5x0YLsrIy",2021-06-12 03:39:41+00:00,11476,21,36,269,remove due move sell share sell share share still lend dumb smart ape pls advise
22,22,assassin_wall,"$AMC $GME Apes…..big dates coming!
June 18th Witching Day!
June 25th T-21 T-35!
June 25th Russell 1000 “Both”!
June 30th Close 2nd Quarter!
#AMC #AMCArmy #AMCSTRONG #AMCSqueeze",2021-06-11 12:44:48+00:00,375,12,103,292,amc gme ape big date come june 18th witch day june 25th june 25th june 30th close 2nd quarter
23,23,DrTrillions,"$GME possibly moving up into the Russell 1000 index? As of May 7, its market cap exceeds the necessary level to move out of the R2000.

If this happens, it may cause significant ETF reallocation which could force some shorted ETF's to cover!

$AMC #MOASS

https://t.co/LvDtmBmS0M",2021-06-11 05:36:35+00:00,13384,6,46,224,gme possibly move may market cap exceed necessary level move r2000 happen may cause significant etf reallocation could force short etf cover amc
24,24,benwehrman,".@dlauer on $GME entering the Russell 1000 on Jun 25:

""Russell rebalancing day is the the CRAZIEST day in the stock market.""

Say no more. Ape calendar updated 🗓️✅ https://t.co/pGejfy7cZf",2021-06-11 01:02:18+00:00,5170,8,57,281,gme enter jun rebalancing day crazy day stock market say ape calendar update
25,25,andyleeck,"Into Russell 1000 #GME may go! Then Russell 2000 index fund will have to close its #GME positions, shares lent out by index fund Russell 2000, &amp; ETFs that copy Russell 2000 has to be returned. But wait, aren’t those ETF shorted like 500%? What will happen? https://t.co/6PgJ4EDV8l",2021-06-09 06:28:51+00:00,11476,53,203,1337,may go fund close position share lend fund amp etf copy return wait etf short like happen
