Number of Followers,Number of Comments,Number of Retweets,Number of Likes,flair_sentiment_score,vader_score,finbert_score,flair_score,"('Adj Close', 'AAPL')","('Close', 'AAPL')","('High', 'AAPL')","('Low', 'AAPL')","('Open', 'AAPL')","('Volume', 'AAPL')","('date', '')"
133004.54545454544,44.54545454545455,58.621212121212125,681.0757575757576,0.897884126984127,0.11814848484848485,0.09802107112698413,-0.895222222222222,128.8048095703125,129.41000366210938,133.61000061035156,126.76000213623047,133.52000427246094,143301900.0,2021-01-04
123349.52830188679,42.81132075471698,43.22641509433962,488.188679245283,0.9030999999999998,0.21017169811320746,0.08185206869230768,-0.8968393939393939,130.39732360839844,131.00999450683594,131.74000549316406,128.42999267578125,128.88999938964844,97664900.0,2021-01-05
141839.7142857143,27.489795918367346,49.0,493.9795918367347,0.9086021276595745,0.2508081632653061,-0.05326435223404256,-0.8876695652173915,126.0079574584961,126.5999984741211,131.0500030517578,126.37999725341797,127.72000122070312,155088000.0,2021-01-06
138824.162601626,50.6910569105691,94.86178861788618,928.6829268292682,0.9028303278688523,0.22772682926829266,0.03917783620491802,-0.9093031249999997,130.30775451660156,130.9199981689453,131.6300048828125,127.86000061035156,128.36000061035156,109578200.0,2021-01-07
142748.69343065695,39.22627737226277,112.67153284671532,899.2262773722628,0.913502222222222,0.22857883211678828,0.006045898466666663,-0.9172174999999998,131.43246459960938,132.0500030517578,132.6300048828125,130.22999572753906,132.42999267578125,105158200.0,2021-01-08
111728.75324675324,36.83116883116883,69.62337662337663,557.1298701298701,0.9158146666666664,0.06381428571428571,-0.06304602225333333,-0.9145555555555555,128.37681579589844,128.97999572753906,130.1699981689453,128.5,129.19000244140625,100384500.0,2021-01-11
89807.11688311688,28.77922077922078,48.688311688311686,556.8831168831168,0.9323133333333332,0.07541948051948051,-0.0047206342133333315,-0.9236697674418606,128.19766235351562,128.8000030517578,129.69000244140625,126.86000061035156,128.5,91951100.0,2021-01-12
86272.23636363636,42.50909090909091,72.65454545454546,674.2181818181818,0.9148132075471695,0.06009636363636364,0.03911010556603774,-0.9226275862068969,130.27789306640625,130.88999938964844,131.4499969482422,128.49000549316406,128.75999450683594,88636800.0,2021-01-13
74797.35294117648,24.431372549019606,35.64705882352941,405.3137254901961,0.9368843137254896,0.11227647058823531,0.016522960333333333,-0.9469666666666667,128.30715942382812,128.91000366210938,131.0,128.75999450683594,130.8000030517578,90221800.0,2021-01-14
98811.08510638298,36.06382978723404,54.808510638297875,559.0,0.8768318181818183,0.15931063829787234,0.0730803988409091,-0.8962185185185185,126.54542541503906,127.13999938964844,130.22000122070312,127.0,128.77999877929688,111598500.0,2021-01-15
119423.78181818181,28.09090909090909,46.981818181818184,534.7818181818182,0.9029018518518518,0.2660036363636364,0.11913478262962963,-0.9191000000000001,127.2322006225586,127.83000183105469,128.7100067138672,126.94000244140625,127.77999877929688,90757300.0,2021-01-19
152094.69811320756,26.132075471698112,47.056603773584904,516.8867924528302,0.8629547169811321,0.24336981132075472,0.10331542760377359,-0.8633464285714286,131.41256713867188,132.02999877929688,132.49000549316406,128.5500030517578,128.66000366210938,104319500.0,2021-01-20
114732.0,50.69565217391305,51.28260869565217,461.1521739130435,0.9331000000000003,0.2431826086956522,0.03644038097619048,-0.9450470588235294,136.2299346923828,136.8699951171875,139.6699981689453,133.58999633789062,133.8000030517578,120150900.0,2021-01-21
74112.3125,26.8125,48.708333333333336,480.1041666666667,0.9109272727272729,0.2078375,0.07541382377272726,-0.935775,138.4196319580078,139.07000732421875,139.85000610351562,135.02000427246094,136.27999877929688,114459400.0,2021-01-22
94404.52380952382,34.06349206349206,48.73015873015873,535.5079365079365,0.900156896551724,0.25142063492063493,0.012877270051724137,-0.9292724137931034,142.2516326904297,142.9199981689453,145.08999633789062,136.5399932861328,143.07000732421875,157611700.0,2021-01-25
131490.71666666667,34.833333333333336,148.73333333333332,1048.3666666666666,0.8923301886792445,0.21975166666666665,0.043503926641509434,-0.8819758620689657,142.4905242919922,143.16000366210938,144.3000030517578,141.3699951171875,143.60000610351562,98390600.0,2021-01-26
128132.19858156028,34.53900709219858,128.84397163120568,976.4042553191489,0.8884281250000002,0.11222127659574463,0.023862414539062498,-0.8641044117647061,141.39566040039062,142.05999755859375,144.3000030517578,140.41000366210938,143.42999267578125,140843800.0,2021-01-27
138016.56043956045,57.15384615384615,280.5164835164835,1848.3626373626373,0.8951940476190474,0.2118846153846153,0.015476788095238099,-0.8928740000000001,136.44888305664062,137.08999633789062,141.99000549316406,136.6999969482422,139.52000427246094,142621100.0,2021-01-28
119223.10714285714,51.839285714285715,94.89285714285714,695.4017857142857,0.9069850000000002,0.15499642857142856,0.02694750845,-0.9242078124999997,131.34288024902344,131.9600067138672,136.74000549316406,130.2100067138672,135.8300018310547,177523800.0,2021-01-29
124516.90277777778,26.65277777777778,79.70833333333333,595.6666666666666,0.9051211267605633,0.16188611111111106,0.03928607702816901,-0.9284857142857144,133.5126953125,134.13999938964844,135.3800048828125,130.92999267578125,133.75,106239800.0,2021-02-01
425604.4827586207,34.724137931034484,99.60919540229885,642.3678160919541,0.885270238095238,0.24976206896551734,0.012205132428571427,-0.89325,134.3587188720703,134.99000549316406,136.30999755859375,134.61000061035156,135.72999572753906,83305400.0,2021-02-02
79003.07692307692,32.83076923076923,85.04615384615384,604.7076923076924,0.8982666666666667,0.1585907692307692,0.05447424156666666,-0.8995692307692308,133.31362915039062,133.94000244140625,135.77000427246094,133.61000061035156,135.75999450683594,89880900.0,2021-02-03
771287.4,38.92727272727273,80.72727272727273,619.8363636363637,0.9041980769230766,0.08937272727272728,0.08196068384615386,-0.9206066666666667,136.74749755859375,137.38999938964844,137.39999389648438,134.58999633789062,136.3000030517578,84183100.0,2021-02-04
96505.19444444444,61.666666666666664,62.97222222222222,817.1666666666666,0.9024485714285713,0.24939166666666665,0.04989225014285714,-0.9081950000000001,136.3238525390625,136.75999450683594,137.4199981689453,135.86000061035156,137.35000610351562,75693800.0,2021-02-05
281602.171875,63.0625,158.7109375,1084.046875,0.9215234374999999,0.2674343749999999,0.04428342682812501,-0.9329580246913584,136.47337341308594,136.91000366210938,136.9600067138672,134.9199981689453,136.02999877929688,71297200.0,2021-02-08
204701.66129032258,51.91935483870968,139.53225806451613,640.8870967741935,0.8969254237288135,0.18903225806451612,-0.027259138677966102,-0.9346129032258065,135.57623291015625,136.00999450683594,137.8800048828125,135.85000610351562,136.6199951171875,76774200.0,2021-02-09
102822.18461538461,57.0,62.23076923076923,678.1384615384616,0.8881190476190477,0.12010923076923075,-0.036851683746031746,-0.9036212121212122,134.95822143554688,135.38999938964844,136.99000549316406,134.39999389648438,136.47999572753906,73046600.0,2021-02-10
81629.37837837837,54.75675675675676,56.567567567567565,578.6216216216217,0.92525,0.18931351351351355,0.000574150999999995,-0.957695,134.6990509033203,135.1300048828125,136.38999938964844,133.77000427246094,135.89999389648438,64280000.0,2021-02-11
100468.50877192983,73.66666666666667,101.40350877192982,1017.7719298245614,0.9031087719298245,0.2664807017543859,0.04974558792982456,-0.9090588235294119,134.9382781982422,135.3699951171875,135.52999877929688,133.69000244140625,134.35000610351562,60145100.0,2021-02-12
178727.7105263158,66.78947368421052,138.31578947368422,931.5526315789474,0.9031631578947369,0.22998157894736843,-0.00881597397368421,-0.900576,132.76524353027344,133.19000244140625,136.00999450683594,132.7899932861328,135.49000549316406,80576300.0,2021-02-16
122285.62068965517,39.724137931034484,104.84482758620689,775.1724137931035,0.885380701754386,0.1936034482758621,-0.03092753257894737,-0.8903121212121211,130.4227294921875,130.83999633789062,132.22000122070312,129.47000122070312,131.25,97918500.0,2021-02-17
92430.65625,43.0,49.03125,531.53125,0.8921333333333332,0.10622031250000002,-0.021688406683333335,-0.9110131578947369,129.2963409423828,129.7100067138672,130.0,127.41000366210938,129.1999969482422,96856700.0,2021-02-18
119767.5625,39.375,62.625,516.2708333333334,0.9370021276595742,0.3019375,0.041726995042553186,-0.9606166666666669,129.455810546875,129.8699951171875,130.7100067138672,128.8000030517578,130.24000549316406,87668800.0,2021-02-19
97753.77272727272,37.81818181818182,47.75757575757576,594.3939393939394,0.9271363636363635,0.10075303030303029,-0.06922830684848484,-0.9406533333333331,125.59815979003906,126.0,129.72000122070312,125.5999984741211,128.00999450683594,103916400.0,2021-02-22
316785.6990291262,45.46601941747573,89.80582524271844,834.6407766990292,0.9050450980392158,0.19547669902912626,-0.05656245290196079,-0.904234426229508,125.45861053466797,125.86000061035156,126.70999908447266,118.38999938964844,123.76000213623047,158273000.0,2021-02-23
125082.04,36.52,66.08,583.36,0.8992891891891893,0.26110000000000005,0.030133078243243242,-0.9116347826086957,124.95024108886719,125.3499984741211,125.55999755859375,122.2300033569336,124.94000244140625,111039900.0,2021-02-24
225424.8510638298,45.97872340425532,61.87234042553192,561.8085106382979,0.9534500000000002,-0.017131914893617015,-0.11010541084782607,-0.9767516129032261,120.60414123535156,120.98999786376953,126.45999908447266,120.54000091552734,124.68000030517578,148199500.0,2021-02-25
101315.86666666667,41.35,58.9,532.5666666666667,0.8943947368421052,0.14182833333333333,-0.019997529824561405,-0.9289657142857142,120.87328338623047,121.26000213623047,124.8499984741211,121.19999694824219,122.58999633789062,164560400.0,2021-02-26
121468.11627906977,42.18604651162791,72.65116279069767,692.4883720930233,0.8736268292682925,0.15354883720930237,0.048480532536585366,-0.8834434782608696,127.38245391845703,127.79000091552734,127.93000030517578,122.79000091552734,123.75,116307900.0,2021-03-01
96428.925,32.3,58.3,566.975,0.9205131578947369,0.19778999999999997,0.0507458432631579,-0.9067238095238097,124.72097778320312,125.12000274658203,128.72000122070312,125.01000213623047,128.41000366210938,102260900.0,2021-03-02
134313.98591549296,50.7887323943662,66.88732394366197,572.887323943662,0.9137687500000001,0.1475197183098592,0.014408735046874998,-0.9437606060606063,121.67073059082031,122.05999755859375,125.70999908447266,121.83999633789062,124.80999755859375,112966300.0,2021-03-03
72340.206185567,47.16494845360825,57.76288659793814,626.4123711340206,0.8729291666666668,0.2533350515463918,-0.03426240228124999,-0.8813280701754382,119.74687957763672,120.12999725341797,123.5999984741211,118.62000274658203,121.75,178155000.0,2021-03-04
129717.28846153847,49.89423076923077,66.32692307692308,676.0673076923077,0.9159495145631064,0.10948942307692307,-0.043292882087378644,-0.9251786885245901,121.03276824951172,121.41999816894531,121.94000244140625,117.56999969482422,120.9800033569336,153766600.0,2021-03-05
114066.52083333333,40.3125,85.3125,599.84375,0.9085340425531913,0.2598489583333333,0.057967489382978715,-0.9128137254901962,115.98890686035156,116.36000061035156,121.0,116.20999908447266,120.93000030517578,154376600.0,2021-03-08
