date,flair_sentiment_score,vader_score,finbert_score,High,Low,Open,Close,Volume,Adj Close,ticket
2020-04-29,0.831090909090909,0.07300909090909091,0.18237197936363636,72.4175033569336,70.97250366210938,71.18250274658203,71.93250274658203,137280800.0,71.0478744506836,AAPL
2020-04-30,0.9036576923076923,-0.028363461538461535,0.19193738123076926,73.63249969482422,72.0875015258789,72.48999786376953,73.44999694824219,183064000.0,72.54669952392578,AAPL
2020-05-05,0.9113324324324326,0.05186756756756757,0.07349549837837839,75.25,73.61499786376953,73.76499938964844,74.38999938964844,147751200.0,73.47513580322266,AAPL
2020-05-06,0.9011931818181818,0.06125454545454543,0.14672729168181817,75.80999755859375,74.71749877929688,75.11499786376953,75.15750122070312,142333600.0,74.23320770263672,AAPL
2020-05-07,0.9195066666666667,0.012940000000000004,0.10703195733333333,76.2925033569336,75.49250030517578,75.80500030517578,75.93499755859375,115215200.0,75.00114440917969,AAPL
2020-05-08,0.9134723404255319,-0.022848936170212764,0.23072389463829787,77.5875015258789,76.07250213623047,76.41000366210938,77.53250122070312,133838400.0,76.78629302978516,AAPL
2020-05-12,0.954815,0.45010500000000003,0.10931103375,79.92250061035156,77.72750091552734,79.4574966430664,77.85250091552734,162301200.0,77.10320281982422,AAPL
2020-05-13,0.9171484848484847,0.06847272727272727,0.20956807060606059,78.98750305175781,75.80249786376953,78.0374984741211,76.9124984741211,200622400.0,76.17227172851562,AAPL
2020-05-14,0.9044730769230769,-0.07851538461538463,0.1202591646153846,77.44750213623047,75.38249969482422,76.12750244140625,77.38500213623047,158929200.0,76.64021301269531,AAPL
2020-05-15,0.8866138888888889,0.04895833333333334,0.026990412000000002,76.9749984741211,75.05249786376953,75.0875015258789,76.92749786376953,166348400.0,76.18712615966797,AAPL
2020-05-18,1.840280742857143,0.4532919226190476,0.20705035765130952,79.125,77.58000183105469,78.2925033569336,78.73999786376953,135178400.0,77.98217010498047,AAPL
2020-05-19,0.9425423076923077,0.04017307692307692,0.18497273096153843,79.62999725341797,78.25250244140625,78.75749969482422,78.28500366210938,101729600.0,77.53155517578125,AAPL
2020-05-20,0.8844206896551723,0.05900344827586207,0.062212417862068964,79.87999725341797,79.12999725341797,79.16999816894531,79.80750274658203,111504800.0,79.0394058227539,AAPL
2020-05-21,0.9339714285714288,0.13429714285714284,0.0628975152857143,80.22250366210938,78.96749877929688,79.66500091552734,79.2125015258789,102688800.0,78.45012664794922,AAPL
2020-05-22,0.9077388888888888,0.23023333333333337,0.056973672583333336,79.80750274658203,78.8375015258789,78.94249725341797,79.72250366210938,81803200.0,78.9552230834961,AAPL
2020-05-26,0.8944500000000002,0.059109375000000006,0.07965754809375,81.05999755859375,79.125,80.875,79.18250274658203,125522000.0,78.42041778564453,AAPL
2020-05-27,0.9371375000000001,0.031259375,0.1316977125,79.67749786376953,78.27249908447266,79.03500366210938,79.52749633789062,112945200.0,78.76209259033203,AAPL
2020-05-28,0.9273405405405405,0.025716216216216222,0.10587214937837837,80.86000061035156,78.90750122070312,79.19249725341797,79.5625,133560800.0,78.79676055908203,AAPL
2020-05-29,0.9172499999999999,0.09752000000000001,0.11758581102500001,80.2874984741211,79.11750030517578,79.8125,79.48500061035156,153532400.0,78.72000885009766,AAPL
2020-06-05,0.8924333333333333,0.03072916666666667,0.20951188104166665,82.9375,80.80750274658203,80.8375015258789,82.875,137250400.0,82.07737731933594,AAPL
2020-06-08,1.3853175006752263,0.068844468061458,0.24118121589678682,83.4000015258789,81.83000183105469,82.5625,83.36499786376953,95654400.0,82.56266021728516,AAPL
2020-06-09,0.9098226415094339,0.25076603773584905,0.07516018060377358,86.40249633789062,83.00250244140625,83.03500366210938,85.99749755859375,147712400.0,85.1698226928711,AAPL
2020-06-10,0.9252135593220339,0.06549830508474577,0.20467984171186435,88.69249725341797,86.52249908447266,86.9749984741211,88.20999908447266,166651600.0,87.36103057861328,AAPL
2020-06-11,0.9512999999999999,0.17774285714285715,0.0,87.76499938964844,83.87000274658203,87.32749938964844,83.9749984741211,201662400.0,83.16678619384766,AAPL
2020-06-12,0.89367,0.5780350000000001,0.1102394611,86.94999694824219,83.55500030517578,86.18000030517578,84.69999694824219,200146000.0,83.88481140136719,AAPL
2020-06-15,0.9124328333333332,0.05595805555555556,0.1257990595711111,86.41999816894531,83.1449966430664,83.3125,85.74749755859375,138808800.0,84.92223358154297,AAPL
2020-06-16,0.8575755555555553,0.06790444444444445,0.24193916055555548,88.30000305175781,86.18000030517578,87.86499786376953,88.0199966430664,165428800.0,87.17285919189453,AAPL
2020-06-17,0.8960543478260867,0.08018478260869566,0.12760059345652175,88.8499984741211,87.77249908447266,88.7874984741211,87.89749908447266,114406400.0,87.0515365600586,AAPL
2020-06-18,0.9163769230769232,0.05946923076923076,0.1480648884230769,88.36250305175781,87.30500030517578,87.85250091552734,87.93250274658203,96820400.0,87.08621978759766,AAPL
2020-06-19,0.9065360000000001,0.07985600000000001,0.19894237758000002,89.13999938964844,86.2874984741211,88.66000366210938,87.43000030517578,264476000.0,86.58855438232422,AAPL
2020-06-22,0.9310345180840668,0.024013654936461393,0.1462760615275562,89.86499786376953,87.7874984741211,87.83499908447266,89.71749877929688,135445200.0,88.8540267944336,AAPL
2020-06-23,0.9085238095238095,0.028066666666666667,0.07983302078571428,93.09500122070312,90.56749725341797,91.0,91.63249969482422,212155600.0,90.75059509277344,AAPL
